"","Subject","Image","Threatened_Rating","Surprise_Rating","Suffering_Rating","SociallyAcceptable_Rating","Sadness_Rating","Relate_Rating","Pleasant_Rating","Narrative_Rating","Joy_Rating","Interact_Rating","Immoral_Rating","Fear_Rating","Disgust_Rating","Desire_Rating","Contamination_Rating","Avoid_Rating","Astonished_Rating","Anger_Rating","Affection_Rating"
"325","sub-sid000863","AC-catch.jpg",-5.92117916,41.65552484,16.97945048,90.0624213,61.52444462,13.7487973,60.86207775,86.08166775,65.01195126,23.21002042,1.136774647,58.1136729,74.69968979,2.19324028,0.367557319,48.10767628,48.20893416,34.04491766,26.42398505
"326","sub-sid000969","AC-catch.jpg",6.142362219,10.63962698,19.05812199,97.77615472,30.71269209,0.432557927,62.87221374,70.85019804,44.36904196,10.42513378,6.365070082,74.25532437,50.74781991,8.706239534,9.190903003,66.71086161,57.70104415,53.0892625,3.262126204
"327","sub-sid000927","AC-catch.jpg",3.92505944,2.334035948,3.620365575,88.76859924,18.86580162,41.88578869,79.01024936,73.23676688,74.20638379,20.41207077,8.226352323,70.66835479,46.76225165,6.687302625,9.951221575,53.39533267,46.55579288,48.06840964,5.048298724
"328","sub-sid000892","AC-catch.jpg",7.65826719,1.220892825,0.399140705,90.98971996,50.44608831,22.74116693,73.09551762,69.70913414,66.30079431,2.645326786,0.008144749,56.27968843,73.42361765,0.586270194,8.354553366,62.82476645,91.67280863,68.29001999,17.52999953
"329","sub-sid000887","AC-catch.jpg",-1.324097196,10.32113984,25.92104662,96.18549415,42.44768862,6.66410749,67.57312852,71.06336327,4.846122636,12.73810323,7.513218773,37.79806174,58.1167869,10.68673589,8.432706935,19.39794147,89.91536488,58.35794358,23.08383455
"330","sub-sid000870","AC-catch.jpg",-1.18528582,-4.187049521,4.621382493,90.1717251,49.38164149,-2.680926476,83.42932751,63.15813055,38.83013029,-0.028128409,2.140086383,48.03912014,51.36013206,2.573125786,2.805447299,39.45988935,81.64073162,80.95598295,3.239629114
"331","sub-sid000895","AC-catch.jpg",31.12369398,8.583349424,18.97630095,80.62370325,49.40381508,7.435084629,72.40899666,76.33738643,85.58633233,0.954663787,9.018661651,56.43840331,98.45569956,-0.78839737,9.572536027,46.57256102,81.80275662,50.09266297,17.12358679
"332","sub-sid000970","AC-catch.jpg",2.974162352,8.49443012,16.79177456,89.52310608,49.53593689,12.77608055,72.40859439,78.93941535,45.50394113,6.090108024,0.512364851,46.24713315,46.27330283,3.276900794,0.200099836,54.59724054,59.40846327,21.8684091,-0.993653432
"333","sub-sid000522","AC-catch.jpg",3.696732209,5.699634999,42.47191348,80.15974972,1.887753817,19.48371112,65.19053411,46.25718251,12.86292444,6.458469479,5.965879197,43.47675197,34.62918263,7.624118862,11.14255066,62.17993826,6.777334242,25.9146926,24.30832175
"334","sub-sid000874","AC-run.jpg",3.722134185,11.00928348,0.981130223,84.60411513,59.15248264,0.166192347,97.47018509,57.46619615,40.14830422,2.834758661,3.917203869,86.44774975,43.64207024,11.54243296,11.54119784,11.38110833,77.27068942,28.74293759,9.596921447
"335","sub-sid000873","AC-run.jpg",5.652563051,3.564509683,13.68059316,82.8450821,46.76669648,15.81809661,77.59927585,39.00857457,31.65320966,3.264532974,7.168493649,61.20178909,70.77009542,8.359443206,7.691471313,32.67710706,75.31880331,18.4796422,17.10505945
"336","sub-sid000888","AC-run.jpg",0.92245008,5.381302524,18.80485903,91.76687714,66.24261704,1.973070013,79.80453071,91.11877406,49.11162082,13.64993327,8.95262159,62.02389059,61.71601093,5.703372733,4.332203521,60.62414904,89.57253673,68.48226694,13.04813391
